product_id,name,refund_total,n_devolucoes,motivo_principal
449,Bússola de Bordo 8282,58380.75,2,Cliente desistiu da compra
77,Bateria Náutica 1945,54128.17,5,Cliente desistiu da compra
14,Defensa Náutica 1161,52505.59,4,Cliente desistiu da compra
197,Motor de Popa 2175,52231.6,4,Cliente desistiu da compra
254,Bússola de Bordo 7825,50446.18,10,Compra duplicada
406,Motor de Popa 6404,48541.65,6,Produto avariado no transporte
168,Âncora Bruce 7525,44893.05000000001,4,Produto com defeito de fábrica
88,Tinta Antifouling 6853,44852.6,5,Item não corresponde à descrição
111,Sonar Transducer 5950,42909.97,7,Produto com defeito de fábrica
121,GPS Plotter 1152,42828.0,4,Tamanho/cor incorretos
442,Motor de Popa 8825,40412.01,6,Cliente desistiu da compra
170,Bateria Náutica 834,40357.42,5,Tamanho/cor incorretos
297,Tinta Antifouling 9136,37651.630000000005,2,Cliente desistiu da compra
201,Sonar Transducer 2387,37202.869999999995,6,Compra duplicada
389,Motor de Popa 5331,36695.090000000004,8,Compra duplicada
451,Cabo Náutico 5416,36041.39,6,Tamanho/cor incorretos
114,Tinta Antifouling 3228,35991.049999999996,6,Produto com defeito de fábrica
340,GPS Pltoter 3205,35658.72,4,Cliente desistiu da compra
308,Motor de Popa 1540,35478.62,6,Cliente desistiu da compra
411,Motor de Popa 684,35267.89,3,Compra duplicada
66,TBD,34902.17,5,Item não corresponde à descrição
159,GPS Plotter 2508,34821.08,3,Produto com defeito de fábrica
322,Bateria Náutica 2619,34563.149999999994,2,Produto com defeito de fábrica
394,Sonar Transducer 2625,33158.7,6,Produto avariado no transporte
395,Vela Mestra 9165,33025.33,3,Compra duplicada
490,Colete Salva-Vidas 3881,32976.8,3,Cliente desistiu da compra
53,Sonar Transducer 6909,32887.46,5,Item não corresponde à descrição
428,Sonar Transducer 8490,32844.43,3,Compra duplicada
499,Âncora Bruce 3938,31542.800000000003,2,Produto avariado no transporte
259,Bússola de Bordo 5451,31392.410000000003,4,Cliente desistiu da compra
154,Hélice de Alumínio 549,31338.3,4,Cliente desistiu da compra
286,Bússola de Bordo 7461,31264.42,5,Produto com defeito de fábrica
408,Sonar Transducer 7193,31202.5,9,Tamanho/cor incorretos
466,Bússola de Bordo 1900,30776.49,5,Compra duplicada
50,Vela Mestra 1577,30656.44,3,Compra duplicada
291,GPS Plotter 4422,30640.21,2,Cliente desistiu da compra
244,Sonar Transducer 6595,30355.88,2,Compra duplicada
126,Hélice de Alumínio 9713,30238.3,5,Cliente desistiu da compra
344,Âncora Bruce 3286,29970.440000000002,5,Compra duplicada
42,Tinta Antifouling 503,29805.600000000002,2,Cliente desistiu da compra
146,Cabo Náutico 7323,28879.02,3,Produto com defeito de fábrica
495,Sonar Transducer 4154,28749.899999999998,2,Item não corresponde à descrição
303,Bússola de Bordo 7024,28360.68,3,Item não corresponde à descrição
338,Cabo Náutico 5724,27946.56,3,Compra duplicada
34,Defensa Náutica 5959,27750.24,4,Produto avariado no transporte
445,Hélice de Alumínio 9779,27743.36,2,Cliente desistiu da compra
132,Tinta Antifouling 7287,26978.16,1,?
295,Cabo Náutico 2105,26669.58,5,CLIENTE DESISTIU DA COMPRA
462,Hélice de Alumínio 1260,26590.520000000004,3,Tamanho/cor incorretos
9,Tinta Antifouling 874,26428.02,4,Item não corresponde à descrição
432,Defensa Náutica 2623,26426.33,6,Produto avariado no transporte
288,Vela Mestra 5566,25967.42,4,Compra duplicada
234,Defensa Náutica 417,25612.8,4,Produto com defeito de fábrica
272,Cabo Náutico 4571,25574.72,4,Tamanho/cor incorretos
331,Bateria Náutica 5936,25051.92,5,Compra duplicada
294,Vela Mestra 5034,24850.66,4,Cliente desistiu da compra
174,Bússola de Bordo 755,24754.82,6,Produto avariado no transporte
276,GPS Plotter 4567,24592.349999999995,3,Compra duplicada
283,Defensa Náutica 3209,24489.58,2,Compra duplicada
333,Bússola de Bordo 180,24412.71,4,Cliente desistiu da compra
405,Bateria Náutica 9124,24398.760000000002,3,Cliente desistiu da compra
100,Defensa Náutica 2321,24394.81,5,Item não corresponde à descrição
311,GPS Plotter 2249,24179.440000000002,9,Produto avariado no transporte
232,Hélice de Alumínio 5784,24095.1,4,Cliente desistiu da compra
62,Defensa Náutica 3549,23908.059999999998,7,Compra duplicada
279,Vela Mestra 8447,23626.480000000003,4,Item não corresponde à descrição
374,Âncora Bruce 9527,23611.170000000002,6,Cliente desistiu da compra
33,Hélice de Alumínio 7117,23593.71,4,Compra duplicada
250,Hélice de Alumínio 8577,22780.98,1,Compra duplicada
260,Cliente Genérico,22696.079999999998,4,Cliente desistiu da compra
482,GPS Plotter 6316,22638.57,3,Compra duplicada
101,Defensa Náutica 3482,22402.32,2,Produto avariado no transporte
468,Tinta Antifouling 6054,22312.550000000003,3,Cliente desistiu da compra
171,Motor de Popa 6225,21905.15,5,Compra duplicada
441,Colete Salva-Vidas 4674,21833.43,2,Cliente desistiu da compra
359,Hélice de Alumínio 8562,21732.479999999996,2,Cliente desistiu da compra
274,Tinta Antifouling 5779,21410.46,2,Compra duplicada
248,Tinta Antifouling 3953,21317.87,2,Cliente desistiu da compra
415,Bateria Náutica 6140,21256.76,1,Compra duplicada
152,Caboo Náutico 4942,21172.48,3,Compra duplicada
436,Bateria Náutica 6370,21098.1,1,Cliente desistiu da compra
293,GPS Plotter 7173,20987.010000000002,3,Tamanho/cor incorretos
357,NAO INFORMADO,20652.649999999998,5,Item não corresponde à descrição
479,Motor de Popa 9417,20570.25,5,Cliente desistiu da compra
71,Hélice de Alumínio 4633,20478.07,5,Produto com defeito de fábrica
37,Âncora Bruce 3597,20393.39,5,Cliente desistiu da compra
156,GPS Plotter 2111,20366.04,4,Compra duplicada
377,Cabo Náutico 5117,20134.05,1,Compra duplicada
78,Colete Salva-Vidas 8571,19952.100000000002,3,Cliente desistiu da compra
488,Bateria Náutica 9984,19588.600000000002,2,Item não corresponde à descrição
370,Tinta Antifouling 5865,19500.300000000003,1,Cliente desistiu da compra
243,Bússola de Bordo 994,19153.44,4,Cliente desistiu da compra
92,Sonar Transducer 1236,19119.92,3,Cliente desistiu da compra
399,Hélice de Alumínio 9811,18634.34,3,Compra duplicada
266,Bússola de Bordo 9356,18555.11,2,Item não corresponde à descrição
369,Hélice de Alumínio 393,18474.7,3,Compra duplicada
227,Colete Salva-Vidas 3392,18348.3,1,Compra duplicada
388,Cabo Náutico 8945,18303.489999999998,3,Item não corresponde à descrição
32,Defensa Náutica 793,17753.6,4,Cliente desistiu da compra
439,Motor de Popa 1376,17597.99,5,Tamanho/cor incorretos
135,GPS Plotter 3319,17584.68,3,Produto avariado no transporte
223,GPS Plotter 582,17431.199999999997,1,
237,Cabo Náutico 9307,17380.8,3,Cliente desistiu da compra
251,Motor de Popa 6346,17179.85,5,Item não corresponde à descrição
453,Motor de Popa 8838,17163.48,3,Cliente desistiu da compra
73,Hélice de Alumínio 3700,16805.2,2,Cliente desistiu da compra
289,Motor de Popa 8515,16718.809999999998,4,Produto avariado no transporte
271,Tinta Antifouling 5976,16552.5,2,Tamanho/cor incorretos
216,Âncora Bruce 1018,16471.35,3,Compra duplicada
284,Bússola de Bordo 7525,16450.28,3,Compra duplicada
301,Bússola de Bordo 4621,16343.849999999999,4,Produto avariado no transporte
444,Hélice de Alumínio 4479,16340.060000000001,2,Produto avariado no transporte
167,GPS Plotter 2659,16301.28,4,Item não corresponde à descrição
492,Bateria Náutica 4361,16008.079999999998,2,Produto com defeito de fábrica
304,Hélice de Alumínio 7333,15900.52,4,Cliente desistiu da compra
459,Vela Mestra 9743,15799.8,2,Cliente desistiu da compra
235,GPS Plotter 1842,15756.369999999999,3,Item não corresponde à descrição
67,Sonar Transducer 3474,15739.38,3,Cliente desistiu da compra
183,Cabo Náutico 394,15719.16,3,Cliente desistiu da compra
151,Hélice de Alumínio 7225,15344.88,2,Item não corresponde à descrição
115,Bateria Náutica 8635,15285.850000000002,4,Outros
44,Motor de Popa 9645,15006.28,2,Produto com defeito de fábrica
500,Motor de Popa 7932,14977.96,6,Tamanho/cor incorretos
127,Defensa Náutica 6521,14964.84,4,Cliente desistiu da compra
222,GPS Plotter 4088,14821.869999999999,3,Compra duplicada
469,Motor de Popa 9450,14637.5,2,Item não corresponde à descrição
431,Hélice de Alumínio 571,14599.89,3,Cliente desistiu da compra
327,Sonar Transducer 4970,14500.53,3,Item não corresponde à descrição
118,Vela Mestra 5825,14404.560000000001,4,Item não corresponde à descrição
329,Colete Salva-Vidas 3098,14334.2,4,Item não corresponde à descrição
409,Hélice de Alumínio 9928,14218.28,1,Cliente desistiu da compra
80,Hélice de Alumínio 6964,14070.85,5,Cliente desistiu da compra
382,Cabo Náutico 4851,14057.64,2,Compra duplicada
379,Bateria Náutica 3343,13691.26,4,Item não corresponde à descrição
410,Vela Mestra 207,13681.400000000001,3,Cliente desistiu da compra
455,Defensa Náutica 497,13672.96,5,Cliente desistiu da compra
96,GPS Plotter 5928,13553.34,4,Tamanho/cor incorretos
103,GPS Plotter 3183,13328.189999999999,2,Produto avariado no transporte
179,Bateria Náutica 4055,13283.73,4,Cliente desistiu da compra
144,Vela Mestra 7171,13154.84,5,Cliente desistiu da compra
191,Bússola de Bordo 8959,12840.75,4,Produto avariado no transporte
417,Bússola de Bordo 6310,12803.21,5,Produto avariado no transporte
496,Bateria Náutica 6054,12663.89,2,Produto avariado no transporte
221,Sonar Transducer 4498,12519.82,4,Compra duplicada
208,Motor de Popa 9560,12265.61,3,Cliente desistiu da compra
17,GPS Plotter 3436,12233.48,2,Cliente desistiu da compra
366,Bússola de Bordo 1762,12108.18,4,Produto avariado no transporte
414,Âncora Bruce 5302,12064.65,2,Cliente desistiu da compra
481,Bússola de Bordo 2683,11858.52,2,Compra duplicada
361,Bússola de Bordo 3152,11675.23,3,Compra duplicada
106,Hélice de Alumínio 2016,11645.630000000001,5,Produto avariado no transporte
196,Colete Salva-Vidas 9616,11567.47,3,Produto com defeito de fábrica
476,Vela Mestra 5689,11548.800000000001,2,Cliente desistiu da compra
385,GPS Plotter 5137,11507.6,2,Compra duplicada
137,Motor de Popa 8544,11454.730000000001,2,Cliente desistiu da compra
70,Motor de Popa 1845,11421.739999999998,3,Tamanho/cor incorretos
236,Bateria Náutica 9272,11357.82,1,Produto avariado no transporte
384,Bateria Náutica 684,11262.5,5,Produto avariado no transporte
49,Bússola de Bordo 5407,11138.12,3,Compra duplicada
28,Colete Salva-Vidas 1890,11122.52,3,Cliente desistiu da compra
342,asdf,11068.650000000001,2,Compra duplicada
23,Âncora Bruce 4975,11060.16,3,Cliente desistiu da compra
350,Motor de Popa 1007,10962.88,2,Cliente desistiu da compra
345,Vela Mestra 1741,10937.44,2,Item não corresponde à descrição
59,Bateria Náutica 8789,10480.460000000001,5,Cliente desistiu da compra
380,Sonar Transducer 8538,10405.71,3,Compra duplicada
86,GPS Plotter 4446,10372.21,5,Cliente desistiu da compra
464,GPS Plotter 9584,10269.56,3,Cliente desistiu da compra
498,GPS Plotter 7720,10135.26,4,Cliente desistiu da compra
229,Bateria Náutica 5653,10116.5,2,Compra duplicada
40,Tinta Antifouling 4321,10096.2,1,Compra duplicada
334,Tinta Antifouling 3404,9997.929999999998,2,Compra duplicada
352,Âncora Bruce 7571,9943.89,3,Produto avariado no transporte
148,Colete Salva-Vidas 8269,9733.92,3,Compra duplicada
438,Colete Salva-Vidas 2217,9661.24,4,Cliente desistiu da compra
165,GPS Plotter 6840,9644.22,2,Produto avariado no transporte
87,Vela Mestra 9995,9576.84,3,Item não corresponde à descrição
310,Vela Mestra 8489,9568.75,4,Compra duplicada
355,Cabo Náutico 1755,9521.28,1,Tamanho/cor incorretos
463,Motor de Popa 8671,9512.8,3,Item não corresponde à descrição
330,Bússola de Bordo 4659,9454.69,3,Item não corresponde à descrição
239,Colete Salva-Vidas 326,9387.64,3,Item não corresponde à descrição
85,Hélice de Alumínio 6549,9121.650000000001,1,Cliente desistiu da compra
57,Vela Mestra 6445,9006.419999999998,3,Compra duplicada
263,Tinta Antifouling 3557,8983.35,3,Item não corresponde à descrição
360,Bateria Náutica 2558,8918.91,3,Tamanho/cor incorretos
133,Âncora Bruce 7309,8885.51,3,Compra duplicada
387,Cabo Náutico 6511,8860.98,6,Cliente desistiu da compra
