mes,line_total
2020-01,15103548.61
2020-02,12853153.89
2020-03,10820016.17
2020-04,9853439.12
2020-05,6792148.28
2020-06,4522999.5
2020-07,4203936.34
2020-08,5723638.71
2020-09,5761371.01
2020-10,9456271.58
2020-11,11336941.92
2020-12,14893281.17
2021-01,17878040.96
2021-02,14619676.03
2021-03,14805778.64
2021-04,11670105.95
2021-05,6331111.99
2021-06,4765720.17
2021-07,4217533.27
2021-08,4991311.91
2021-09,7937866.97
2021-10,11551347.45
2021-11,12721531.6
2021-12,15981315.76
2022-01,19098930.23
2022-02,16300358.9
2022-03,16589556.33
2022-04,13142440.13
2022-05,9188263.12
2022-06,5367253.13
2022-07,4789399.67
2022-08,6085962.81
2022-09,8427798.07
2022-10,12365588.69
2022-11,16312679.98
2022-12,19715494.39
2023-01,24141376.96
2023-02,20844742.32
2023-03,17102774.35
2023-04,13387262.15
2023-05,9161659.07
2023-06,6413024.77
2023-07,5741738.25
2023-08,6693897.37
2023-09,10294544.31
2023-10,14828993.23
2023-11,17446907.07
2023-12,22043350.22
2024-01,27150134.12
2024-02,23032131.74
2024-03,20866064.24
2024-04,16298951.3
2024-05,12035258.3
2024-06,7122601.28
2024-07,6434384.91
2024-08,7345786.53
2024-09,9778285.52
2024-10,16886193.38
2024-11,19936246.51
2024-12,25217959.12
2025-01,29735217.15
2025-02,23861428.24
2025-03,26325949.36
2025-04,19504188.75
2025-05,12457092.31
2025-06,8639326.11
2025-07,7569013.75
2025-08,9943419.78
2025-09,12577140.99
2025-10,20291846.08
2025-11,25679848.22
2025-12,27538601.03
2026-01,34107021.24
2026-02,27612560.5
2026-03,29282360.02
2026-04,20599573.44
2026-05,14996919.15
2026-06,10033062.27
2026-07,9363447.46
2026-08,9366983.58
2026-09,15535075.32
2026-10,22142016.82
2026-11,28349751.86
2026-12,33840861.15
